year,co2
1850,284.3169988
1851,287.1601688
1852,290.0317705
1853,292.9320882
1854,295.8614091
1855,298.8200232
1856,301.8082234
1857,304.8263056
1858,307.8745687
1859,310.9533144
1860,314.0628475
1861,317.203476
1862,320.3755107
1863,323.5792658
1864,326.8150585
1865,330.0832091
1866,333.3840412
1867,336.7178816
1868,340.0850604
1869,343.485911
1870,346.9207701
1871,350.3899778
1872,353.8938776
1873,357.4328164
1874,361.0071445
1875,364.617216
1876,368.2633881
1877,371.946022
1878,375.6654822
1879,379.4221371
1880,383.2163584
1881,387.048522
1882,390.9190072
1883,394.8281973
1884,398.7764793
1885,402.7642441
1886,406.7918865
1887,410.8598054
1888,414.9684034
1889,419.1180875
1890,423.3092684
1891,427.542361
1892,431.8177846
1893,436.1359625
1894,440.4973221
1895,444.9022953
1896,449.3513183
1897,453.8448315
1898,458.3832798
1899,462.9671126
1900,467.5967837
1901,472.2727516
1902,476.9954791
1903,481.7654339
1904,486.5830882
1905,491.4489191
1906,496.3634083
1907,501.3270424
1908,506.3403128
1909,511.4037159
1910,516.5177531
1911,521.6829306
1912,526.8997599
1913,532.1687575
1914,537.4904451
1915,542.8653495
1916,548.294003
1917,553.7769431
1918,559.3147125
1919,564.9078596
1920,570.5569382
1921,576.2625076
1922,582.0251327
1923,587.845384
1924,593.7238378
1925,599.6610762
1926,605.657687
1927,611.7142638
1928,617.8314065
1929,624.0097205
1930,630.2498177
1931,636.5523159
1932,642.9178391
1933,649.3470175
1934,655.8404876
1935,662.3988925
1936,669.0228815
1937,675.7131103
1938,682.4702414
1939,689.2949438
1940,696.1878932
1941,703.1497722
1942,710.1812699
1943,717.2830826
1944,724.4559134
1945,731.7004725
1946,739.0174773
1947,746.407652
1948,753.8717285
1949,761.4104458
1950,769.0245503
1951,776.7147958
1952,784.4819438
1953,792.3267632
1954,800.2500308
1955,808.2525311
1956,816.3350564
1957,824.498407
1958,832.7433911
1959,841.070825
1960,849.4815332
1961,857.9763486
1962,866.5561121
1963,875.2216732
1964,883.9738899
1965,892.8136288
1966,901.7417651
1967,910.7591827
1968,919.8667746
1969,929.0654423
1970,938.3560967
1971,947.7396577
1972,957.2170543
1973,966.7892248
1974,976.4571171
1975,986.2216882
1976,996.0839051
1977,1006.044744
1978,1016.105192
1979,1026.266244
1980,1036.528906
1981,1046.894195
1982,1057.363137
1983,1067.936768
1984,1078.616136
1985,1089.402297
1986,1100.29632
1987,1111.299284
1988,1122.412276
1989,1133.636399
1990,1144.972763
