model,scenario,Category
WITCH-GLOBIOM 4.4,CD-LINKS_NPi2020_400,C1
GCAM 5.3,R_MAC_35_n8,C1
REMIND 1.7,CEMICS-1.5-CDR8,C1
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,C1
COFFEE 1.1,EN_INDCi2030_500f,C2
COFFEE 1.1,EN_INDCi2030_400f,C2
COFFEE 1.1,EN_NPi2020_500f,C2
POLES ENGAGE,EN_INDCi2030_300f,C2
C-ROADS-5.005,Ratchet-1.5-limCDR-noOS,C1
POLES ENGAGE,EN_INDCi2030_400f,C2
WITCH-GLOBIOM 3.1,SSP4-19,C1
IMAGE 3.2,SSP1_SPA1_19I_D_LB,C1
C-ROADS-5.005,Ratchet-1.5-noCDR-noOS,C1
REMIND-MAgPIE 1.7-3.0,CO_2Deg2030,C2
REMIND 1.7,CEMICS-1.5-CDR12,C1
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_NDC,C2
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,C2
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_mc_50,C2
COFFEE 1.1,EN_NPi2020_400f,C2
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400,C1
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_mc_50,C2
GCAM 5.3,R_MAC_40_n8,C1
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_mc_50,C2
POLES ADVANCE,ADVANCE_2020_1.5C-2100,C1
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,C2
REMIND-MAgPIE 2.1-4.2,NGFS2_Net-Zero 2050 - IPD-95th,C1
MESSAGEix-GLOBIOM 1.0,CD-LINKS_NDC2030i_1000,C2
MESSAGE-GLOBIOM 1.0,EMF30_Slower-to-faster,C2
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_1000,C2
POLES GECO2019,CO_Bridge,C2
REMIND-MAgPIE 2.1-4.2,NGFS2_Net-Zero 2050 - IPD-median,C1
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p,C2
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,C2
IMAGE 3.2,SSP2_SPA1_19I_D_LB,C1
GEM-E3_V2021,EN_INDCi2030_800f,C2
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,C2
MESSAGE-GLOBIOM 1.0,ADVANCE_2030_Price1.5C,C2
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_goodpractice,C2
IMAGE 3.2,SSP2_SPA2_19I_LI,C1
MESSAGEix-GLOBIOM 1.0,CD-LINKS_NPi2020_1000,C2
REMIND-MAgPIE 1.7-3.0,CO_Bridge,C2
REMIND 1.7,ADVANCE_2020_1.5C-2100,C1
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,C2
WITCH 5.0,EN_INDCi2030_500f,C2
REMIND-MAgPIE 2.1-4.2,NGFS2_Net-Zero 2050,C1
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_NDC,C2
GEM-E3_V2021,EN_NPi2020_600f,C2
AIM/Hub-Global 2.0,1.5C,C1
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_80,C2
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,C2
WITCH-GLOBIOM 4.4,CD-LINKS_NPi2020_1000,C1
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f,C2
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_100,C2
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_500f,C2
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_NDCp,C2
REMIND 1.7,ADVANCE_2030_WB2C,C2
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500,C1
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f,C2
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,C1
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,C1
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,C1
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_120,C2
POLES ENGAGE,EN_NPi2020_300f,C2
POLES ENGAGE,EN_NPi2020_400f,C2
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f_COV,C2
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_netzero,C2
C-ROADS-5.005,Ratchet-1.5-allCDR,C2
REMIND-MAgPIE 2.1-4.2,NGFS2_Divergent Net Zero Policies,C1
GEM-E3_V2021,EN_INDCi2030_600f_NDCp,C2
REMIND-MAgPIE 1.5,SSP5-19,C2
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_300f,C2
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_400f,C2
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_400,C2
WITCH 5.0,EN_INDCi2030_600f,C3
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,C2
WITCH 5.0,EN_INDCi2030_600f_NDCp,C3
POLES EMF33,EMF33_WB2C_nofuel,C1
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV,C2
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_NDC,C2
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV_NDCp,C2
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB550,C2
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB600,C2
GEM-E3_V2021,EN_INDCi2030_600f,C2
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB500,C2
AIM/CGE 2.2,EN_NPi2020_600f,C2
POLES ENGAGE,EN_INDCi2030_500f,C3
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_goodpractice,C2
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB450,C2
GEM-E3_V2021,EN_NPi2020_500f,C2
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,C1
GCAM 5.3,R_MAC_30_n0,C1
COFFEE 1.1,EN_INDCi2030_600f,C4
AIM/CGE 2.1,CD-LINKS_NPi2020_400,C1
GCAM 5.3,R_MAC_45_n8,C1
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,C1
GCAM 5.3,NGFS2_Delayed Transition,C4
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR4p,C2
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB400,C2
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,C2
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg900,C1
REMIND 1.7,ADVANCE_2030_Price1.5C,C2
REMIND 1.7,CEMICS-2.0-CDR20,C2
MESSAGE-GLOBIOM 1.0,EMF33_WB2C_cost100,C2
MESSAGE-GLOBIOM 1.0,EMF33_WB2C_full,C2
MESSAGE-GLOBIOM 1.0,EMF33_WB2C_nofuel,C2
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NDC2030i_1000,C3
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900,C1
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-minCDR,C1
GEM-E3_V2021,EN_INDCi2030_600f_COV,C2
COFFEE 1.1,EN_NPi2020_400_lowBECCS,C3
POLES ENGAGE,EN_NPi2020_500,C3
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,C2
REMIND 1.7,CEMICS-1.5-CDR20,C1
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR3p,C2
REMIND 2.1,LeastTotalCost_LTC_brkSR15_SSP1_P50,C2
GEM-E3_V2021,EN_NPi2020_400f,C2
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_goodpractice,C2
REMIND 2.1,CEMICS_Linear_1p5,C1
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_netzero,C2
POLES ADVANCE,ADVANCE_2030_WB2C,C2
WITCH 5.0,EN_INDCi2030_700f,C3
GCAM 5.3,R_MAC_35_n0,C3
REMIND 2.1,R2p1_SSP5-PkBudg900,C1
GEM-E3_V2021,EN_INDCi2030_600f_COV_NDCp,C2
POLES ENGAGE,EN_NPi2020_600,C3
GCAM 5.3,R_MAC_60_n8,C2
IMAGE 3.2,SSP1_SPA1_19I_RE,C2
WITCH 5.0,EN_INDCi2030_700f_NDCp,C3
REMIND 2.1,R2p1_SSP1-PkBudg900,C1
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,C2
COFFEE 1.1,CO_2Deg2030,C4
COFFEE 1.1,EN_NPi2020_600f,C4
COFFEE 1.1,CO_2Deg2020,C4
POLES ENGAGE,EN_INDCi2030_600f_NDCp,C3
REMIND-MAgPIE 1.7-3.0,CO_2Deg2020,C2
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_800f,C3
POLES ENGAGE,EN_INDCi2030_600f,C3
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_800f_NDCp,C3
POLES ENGAGE,EN_INDCi2030_600f_COV,C3
POLES ENGAGE,EN_INDCi2030_600f_COV_NDCp,C3
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_eff,C2
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_1000,C2
COFFEE 1.1,EN_INDCi2030_700f,C4
POLES GECO2019,CO_Bridge_notax,C4
WITCH 5.0,EN_NPi2020_600,C3
POLES GECO2019,CO_2Deg2030,C3
REMIND-MAgPIE 1.5,SSP5-26,C4
GEM-E3_V2021,EN_NPi2020_600f_COV,C2
REMIND 2.1,R2p1_SSP1-PkBudg1300,C2
GCAM 5.3,R_MAC_40_n0,C3
COFFEE 1.1,EN_NPi2020_500,C3
COFFEE 1.1,EN_NPi2020_700f,C4
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_800f_COV,C3
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR2p,C2
COFFEE 1.1,EN_INDCi2030_800f,C4
COFFEE 1.1,EN_NPi2020_800f,C4
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_800f_COV_NDCp,C3
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_900f,C3
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1000f_DR10p,C4
COFFEE 1.1,EN_INDCi2030_900f,C4
COFFEE 1.1,EN_NPi2020_900f,C4
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_netzero,C2
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,C1
WITCH 5.0,EN_NPi2020_700,C3
POLES EMF30,EMF30_Slower-to-faster,C2
AIM/CGE 2.2,EN_NPi2020_500f,C2
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,C2
REMIND 1.7,ADVANCE_2030_1.5C-2100,C2
MESSAGE-GLOBIOM 1.0,ADVANCE_2030_WB2C,C3
WITCH 5.0,CO_2Deg2030,C3
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-PkBudg900,C1
REMIND-MAgPIE 1.7-3.0,EMF33_WB2C_none,C3
POLES ENGAGE,EN_INDCi2030_700f,C3
POLES ENGAGE,EN_NPi2020_700,C3
WITCH 5.0,EN_INDCi2030_800f,C3
REMIND-Buildings 2.0,BEG-Budg600-EG,C2
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1000_DR1p,C3
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_900f_NDCp,C3
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700,C2
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_1000f_DR1p,C3
WITCH 5.0,EN_INDCi2030_800f_NDCp,C3
WITCH 5.0,EN_NPi2020_600f,C3
WITCH 5.0,CO_2Deg2020,C3
COFFEE 1.1,CO_Bridge,C3
REMIND-Buildings 2.0,BEG-Budg600,C2
POLES ENGAGE,EN_INDCi2030_800f,C4
WITCH 5.0,EN_NPi2020_800,C3
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1000f,C4
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_900f_COV,C3
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_900f_COV_NDCp,C3
AIM/CGE 2.1,CD-LINKS_NPi2020_1000,C3
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1000f_NDCp,C4
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_950f_COV,C3
AIM/CGE 2.2,EN_NPi2020_700,C3
REMIND-MAgPIE 1.7-3.0,EMF33_WB2C_nobeccs,C3
COFFEE 1.1,EN_NPi2020_1000f,C5
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_950f_COV_NDCp,C3
COFFEE 1.1,EN_INDCi2030_1000f,C5
COFFEE 1.1,EN_INDCi2030_1200f,C5
REMIND 2.1,CEMICS_HotellingConst_1p5,C1
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700_COV,C2
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg1100,C2
REMIND 2.1,R2p1_SSP5-PkBudg1100,C2
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p,C2
REMIND-MAgPIE 1.5,SSP2-19,C1
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg1100,C3
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600_COV,C1
GCAM 5.3,R_MAC_45_n0,C3
WITCH 5.0,EN_NPi2020_700f,C3
TIAM-ECN 1.1,EN_INDCi2030_900f,C3
WITCH 5.0,EN_NPi2020_900,C3
AIM/Hub-Global 2.0,WB2C,C3
IMAGE 3.2,SSP1_SPA1_19I_LIRE,C2
REMIND-MAgPIE 1.7-3.0,EMF33_WB2C_limbio,C3
POLES ENGAGE,EN_NPi2020_800f,C4
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_700,C3
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_800,C3
TIAM-ECN 1.1,EN_INDCi2030_1000f,C3
TIAM-ECN 1.1,EN_INDCi2030_1000f_COV,C3
